time,playingmode,timeout,timeoutenable,continuity,outputprobability,cut,timestretch,regionmaskenable,regionmasklow,regionmaskhigh
50.249329,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
50.297279,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
50.347557,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
50.397621,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
50.448494,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
50.497513,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
50.547070,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
50.597229,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
50.650688,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
50.697212,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
50.746780,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
50.798283,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
50.847084,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
50.897991,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
50.948479,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
50.997917,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
51.046791,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
51.098820,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
51.146755,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
51.197517,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
51.253807,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
51.297661,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
51.347965,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
51.399132,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
51.447460,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
51.497017,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
51.546680,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
51.596462,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
51.653736,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
51.697845,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
51.749889,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
51.797165,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
51.846554,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
51.896652,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
51.946938,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
51.997589,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
52.047752,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
52.096916,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
52.149593,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
52.199123,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
52.246532,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
52.297573,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
52.348774,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
52.398312,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
52.447990,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
52.497200,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
52.552235,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
52.597530,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
52.650013,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
52.698109,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
52.747543,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
52.797447,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
52.846989,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
52.903339,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
52.946907,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
52.996716,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
53.047642,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
53.097794,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
53.147175,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
53.196796,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
53.247475,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
53.298710,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
53.348515,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
53.397892,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
53.446983,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
53.498146,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
53.547066,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
53.597710,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
53.649426,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
53.697510,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
53.747211,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
53.797741,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
53.849434,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
53.897369,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
53.946701,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
53.996819,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
54.050282,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
54.097092,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
54.150105,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
54.197689,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
54.247627,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
54.297905,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
54.347538,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
54.396740,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
54.448624,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
54.498215,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
54.546970,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
54.597645,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
54.650906,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
54.697235,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
54.746773,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
54.796925,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
54.849705,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
54.897602,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
54.948170,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
54.997566,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
55.047741,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
55.097065,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
55.147823,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
55.197659,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
55.247978,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
55.296932,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
55.346748,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
55.399605,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
55.446617,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
55.497925,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
55.546673,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
55.597134,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
55.646973,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
55.697495,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
55.748886,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
55.797733,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
55.846542,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
55.897579,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
55.948235,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
55.997551,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
56.047581,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
56.098011,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
56.150578,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
56.204311,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
56.247540,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
