time,pitch,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
33.497799,45,0.056250,0.056250,0.000000,0.225000,0.225000,0.000000,0.000000,0.000000,1.462500,1.462500,0.000000,0.000000
34.897453,107,0.062500,0.062500,0.000000,0.249999,0.249999,0.249999,0.249999,0.000000,1.624990,1.624990,1.499991,1.499991
35.848087,44,0.062500,0.312462,0.000000,0.250000,0.250000,0.000000,1.624756,0.000000,1.625000,1.625000,0.265118,0.202627
36.897430,94,0.000000,0.000000,0.062506,0.000000,0.000000,0.250025,0.182353,0.000000,0.182365,0.182365,1.625163,0.000000
38.550472,72,1.624999,0.000000,0.000000,0.062500,0.062500,0.000000,0.250000,0.250000,0.000000,0.000000,0.000000,1.624999
38.597965,38,1.708334,0.000000,2.166667,0.333333,0.062500,0.000000,0.333333,0.250000,2.166667,0.333333,0.000000,1.625001
38.648609,40,1.249209,0.000000,1.547068,0.258333,1.527778,0.000000,0.246833,0.182250,1.754167,0.258333,0.000000,1.484625
38.698200,43,1.124288,0.000000,1.932099,0.232500,1.865741,0.000000,0.230640,2.330692,1.583009,0.266461,0.000000,1.436533
38.898197,77,0.839464,0.064583,1.365315,0.201872,2.712568,1.547068,0.355188,1.555641,0.956961,1.611651,0.000000,2.317859
38.947964,56,0.573263,0.053958,1.041100,0.454042,2.249727,1.400077,0.286441,1.433968,2.182060,1.454035,0.000000,1.987184
38.998405,60,2.166667,0.000000,0.936990,0.377112,2.010962,1.260069,0.257797,1.623904,2.406192,1.260069,0.000000,1.738829
39.097633,60,1.731996,0.000000,0.614759,0.346691,1.331333,0.763008,0.414484,1.113205,1.757507,0.826732,0.000000,2.795520
39.097633,60,1.731996,0.000000,0.614759,0.346691,1.331333,0.763008,0.414484,1.113205,1.757507,0.826732,0.000000,2.795520
39.148178,60,1.593298,0.067226,0.448159,0.217296,1.066346,0.556233,0.332724,0.814916,1.281223,1.375507,0.000000,2.233451
39.197277,59,1.481521,0.067378,0.363009,0.188728,0.922785,1.677813,0.320379,0.689459,1.037790,1.541892,0.000000,2.142323
39.297882,53,0.996950,0.055076,0.264634,1.917024,0.655001,1.731996,0.259996,0.408217,0.710095,1.431984,0.287037,1.733609
39.347908,56,0.882529,0.000000,0.168932,1.898765,0.530551,1.400077,0.166158,0.339146,1.610203,1.159907,0.266461,1.404223
39.447510,82,0.718682,1.527778,0.466223,1.550494,0.382513,1.434063,1.527778,1.674944,1.913832,0.939525,1.743611,1.098025
39.498375,103,0.530796,1.731996,0.699578,1.157818,0.278852,1.093192,1.731996,3.367058,1.666538,0.684914,1.889338,0.812401
39.597382,103,0.531743,1.505298,0.559326,0.844050,0.203283,1.772900,2.371075,3.315505,1.252241,0.535894,1.708000,0.563315
39.697598,103,0.401441,0.926745,0.476809,0.615312,0.111596,1.762695,2.564393,2.747675,0.744058,0.394117,1.718012,0.368451
39.747524,80,0.444630,2.856807,0.467453,2.736601,0.100436,1.587870,2.455738,2.685075,2.911572,0.253908,2.027328,0.331606
39.797604,80,0.327969,1.860966,0.185766,1.880658,0.000000,1.091721,1.790233,1.698480,2.105437,0.146963,2.816171,0.205263
40.648270,103,0.062506,1.625163,0.312580,2.172104,0.000000,0.351816,0.283422,1.761854,1.925225,0.000000,1.625367,0.000000
41.847431,42,0.000000,0.329775,1.625032,0.079784,0.000000,0.000000,1.625032,0.079776,0.079770,0.250005,0.142276,0.000000
42.849155,42,0.062506,0.250000,0.182363,0.250025,0.000000,0.000000,1.625000,0.000000,1.625163,0.000000,0.062500,0.000000
45.597115,36,0.308837,0.000000,0.000000,0.000000,0.308837,0.000000,0.000000,0.051473,0.000000,0.000000,0.000000,0.051473
46.498417,84,1.625367,1.625367,0.000000,0.000000,0.312570,0.062514,0.000000,0.250056,0.250056,1.625367,0.000000,0.000000
47.347527,108,1.749613,0.250120,0.249915,1.624450,0.000000,0.000000,0.000000,1.749408,0.000000,0.250120,0.249915,0.000000
48.199951,108,1.500001,0.000000,0.250000,0.278016,0.000000,0.000000,0.000000,1.750001,0.000000,0.000000,0.000000,0.000000
48.199951,108,1.500001,0.000000,0.250000,0.278016,0.000000,0.000000,0.000000,1.750001,0.000000,0.000000,0.000000,0.000000
48.299782,108,1.500000,0.300000,0.225000,1.865741,0.000000,0.000000,1.527778,1.600000,0.000000,0.000000,0.362037,0.000000
48.399948,87,1.350000,1.760278,0.239025,1.555641,0.000000,0.300000,1.392361,0.941054,0.300000,0.000000,1.818287,0.000000
48.446552,46,0.984150,2.068258,0.186189,1.433968,0.000000,0.266461,2.542809,0.697474,0.266461,0.000000,1.952606,0.000000
48.547630,42,0.717445,1.860757,0.087170,2.911103,1.865741,0.193611,2.471954,0.540012,0.316882,0.000000,1.420575,0.287037
48.599972,50,0.645701,1.870528,2.245119,2.487894,1.547068,0.396646,2.304937,0.486011,0.309579,0.333333,2.493166,0.258333
48.699142,50,0.423644,1.227253,1.783469,2.234850,1.015031,0.266461,1.441559,0.337779,0.166158,0.266461,1.938854,1.865741
48.748455,50,0.343152,1.069075,1.672554,1.701981,1.053531,0.257316,1.211995,0.280945,0.134588,1.635094,1.848744,1.731996
48.798084,47,0.308837,0.966427,1.593298,1.531783,0.965215,0.245123,1.094180,2.368234,0.121129,1.967345,1.745100,1.555641
48.848175,47,0.225142,0.673392,1.072167,1.136276,0.734206,0.178694,0.831410,1.788586,0.088303,1.555641,1.272178,1.646135
48.950211,105,0.164128,0.499303,0.768604,0.832376,2.217685,0.130268,0.622222,1.688717,0.136132,3.076991,0.890626,1.304837
49.047626,105,0.079766,0.281568,0.583696,1.919383,1.795456,0.094966,0.412387,1.383066,0.059954,2.423360,0.856830,0.876143
49.101570,105,0.405123,0.253411,0.525326,1.547068,1.929870,2.166667,0.371148,1.217618,0.064329,2.447719,0.771147,0.784149
49.148163,51,0.310668,0.184737,0.382963,2.390558,1.447218,1.547068,0.270567,0.930134,0.000000,2.030278,0.884736,0.571645
49.148163,51,0.310668,0.184737,0.382963,2.390558,1.447218,1.547068,0.270567,0.930134,0.000000,2.030278,0.884736,0.571645
49.199200,78,0.266461,0.249596,0.344666,2.624334,1.218084,1.731996,0.243510,0.793319,0.000000,3.464084,0.815306,0.514480
50.147980,78,1.624756,0.312486,0.232647,0.270584,0.379003,0.157097,1.624891,0.249962,0.000000,1.705876,0.062496,0.000000
50.897289,85,1.807726,1.623763,0.249810,0.000000,0.113924,0.062452,0.308850,1.800146,0.249810,0.308828,0.000000,0.062452
51.648315,47,1.748668,0.558803,0.062452,0.062452,0.312262,1.623763,1.873573,0.507304,0.051499,1.686215,1.686215,1.623763
53.447739,47,0.000000,0.250000,0.062500,0.062500,0.250000,0.250000,1.875000,0.000000,0.000000,1.625000,1.687500,1.625000
53.447739,47,0.000000,0.250000,0.062500,0.062500,0.250000,0.250000,1.875000,0.000000,0.000000,1.625000,1.687500,1.625000
53.497051,47,1.677778,0.250000,0.062500,0.062500,0.250000,1.527778,1.875000,0.300000,0.000000,1.700000,1.687500,1.625000
53.598026,47,1.905556,0.250000,0.050625,0.062500,1.865741,1.769444,1.875000,0.272222,0.071759,1.384306,1.378750,1.625000
53.598026,47,1.905556,0.250000,0.050625,0.062500,1.865741,1.769444,1.875000,0.272222,0.071759,1.384306,1.378750,1.625000
